pollster,numeric_grade,pollscore,transparency_score,candidate_name,pct,date
McCourtney Institute/YouGov,2.7,-0.6,8.6,Donald Trump,35.7,2024-09-27
Data Orbital,2.9,-1.2,9.2,Kamala Harris,49.65,2024-09-20
Echelon Insights,3,-0.9,7.2,Donald Trump,47.07,2024-07-15
SurveyUSA/High Point University,2.9,-1.4,8.3,Donald Trump,54.75,2024-07-24
Marist,3,-0.2,9.8,Kamala Harris,44.35,2024-08-26
CNN/SSRS,2.8,-1.3,7.1,Kamala Harris,48.93,2024-09-09
Suffolk,2.9,-0.9,6.5,Donald Trump,46.84,2024-08-15
Washington Post/George Mason University,2.8,-1.1,6.3,Donald Trump,52.81,2024-08-02
SurveyUSA/High Point University,2.9,-0.9,6,Kamala Harris,48.25,2024-08-27
McCourtney Institute/YouGov,2.7,-0.3,5,Kamala Harris,52.39,2024-08-05
MassINC Polling Group,3,-0.1,7.9,Donald Trump,48.26,2024-08-05
Ipsos,2.9,-1,9.3,Donald Trump,46.75,2024-08-16
SurveyUSA/High Point University,2.8,-0.2,8.8,Kamala Harris,48.11,2024-07-27
Ipsos,2.8,-1,7.2,Kamala Harris,48.57,2024-09-01
Quinnipiac,2.9,-0.5,7.4,Kamala Harris,42.95,2024-08-08
Marquette Law School,3,-1.3,6,Kamala Harris,60.5,2024-09-21
YouGov/Center for Working Class Politics,2.9,-0.3,9.3,Donald Trump,58.17,2024-07-19
Selzer,2.8,-0.8,9,Kamala Harris,48.43,2024-08-29
Washington Post/George Mason University,2.9,-0.3,5.1,Kamala Harris,50.7,2024-07-14
Marist,2.9,-0.3,8.8,Donald Trump,44.97,2024-09-22
Data Orbital,2.8,-1.2,7.9,Kamala Harris,51.37,2024-07-20
SurveyUSA,2.9,-0.3,7.9,Kamala Harris,40.93,2024-09-28
YouGov,2.7,-0.2,6,Kamala Harris,51.87,2024-07-29
The Washington Post,2.8,-0.3,4.8,Kamala Harris,40.45,2024-07-24
Suffolk,2.9,-0.3,6.1,Kamala Harris,44.45,2024-08-05
Suffolk,2.9,-0.5,8.3,Kamala Harris,60.83,2024-09-24
Siena,2.8,-0,4.7,Kamala Harris,49.81,2024-08-01
Selzer,3,-1.3,10,Kamala Harris,49.96,2024-08-22
Beacon/Shaw,2.8,-0.3,6.8,Kamala Harris,48.59,2024-07-15
McCourtney Institute/YouGov,2.9,-0.6,4.9,Kamala Harris,48.31,2024-09-26
YouGov,3,-0.3,6.5,Kamala Harris,54.85,2024-07-08
SurveyUSA/High Point University,3,-1.1,6,Donald Trump,50.18,2024-07-02
Emerson,3,-1.4,8.5,Kamala Harris,53.43,2024-09-16
Ipsos,2.8,-0.9,9.3,Kamala Harris,60.75,2024-08-01
Echelon Insights,2.8,-0.3,8.9,Donald Trump,57.39,2024-07-26
YouGov/Center for Working Class Politics,2.9,-0.2,7.6,Kamala Harris,46.95,2024-09-17
Suffolk,2.7,-0.7,9.8,Kamala Harris,51.65,2024-07-06
Selzer,2.9,-0.7,8.2,Donald Trump,52.84,2024-08-11
Suffolk,2.9,-0.9,7.9,Donald Trump,47.76,2024-08-01
Ipsos,2.9,-0.5,8,Kamala Harris,46.24,2024-07-06
Ipsos,2.8,-0.3,7.8,Kamala Harris,51.43,2024-08-17
YouGov/Center for Working Class Politics,3,-0.5,6.5,Donald Trump,58.83,2024-07-17
Ipsos,2.9,-0.2,9.4,Kamala Harris,49.08,2024-07-23
Echelon Insights,2.8,-0.4,8.5,Donald Trump,50.97,2024-07-08
Echelon Insights,2.7,-0.4,6.5,Kamala Harris,40.71,2024-09-01
McCourtney Institute/YouGov,2.8,-1.3,7.8,Kamala Harris,56.51,2024-07-13
Selzer,2.8,-1.1,5.7,Kamala Harris,48.29,2024-09-07
U. North Florida,2.9,-0.5,5.3,Kamala Harris,53.57,2024-07-23
YouGov Blue,2.8,-0.5,9.3,Kamala Harris,44.87,2024-09-18
The Washington Post,2.9,-0.3,4.7,Donald Trump,46.11,2024-09-05
Christopher Newport U.,2.9,-0.8,7.9,Donald Trump,62.8,2024-09-23
YouGov/Center for Working Class Politics,2.8,-1.3,7.2,Donald Trump,59.98,2024-07-17
YouGov Blue,2.8,-1,4.8,Donald Trump,45.48,2024-08-17
YouGov/Center for Working Class Politics,2.7,-1,4.6,Kamala Harris,54.46,2024-09-17
Echelon Insights,2.8,-0.9,8.6,Donald Trump,44.69,2024-09-01
Data Orbital,2.7,-1.5,6.1,Donald Trump,49,2024-09-06
Data Orbital,2.9,-0.1,7.6,Kamala Harris,54.29,2024-09-04
Marquette Law School,2.8,-0.6,7,Kamala Harris,48.64,2024-08-01
Siena,2.9,-0.5,5.4,Donald Trump,57.35,2024-07-05
Siena/NYT,2.9,-0.8,10,Kamala Harris,53.97,2024-08-14
Marquette Law School,2.8,-0.9,8.1,Donald Trump,42.83,2024-07-01
SurveyUSA/High Point University,2.9,-1.3,4.5,Donald Trump,47.09,2024-08-19
Emerson,3,-0.5,5.2,Donald Trump,44.12,2024-09-28
McCourtney Institute/YouGov,2.9,-1,9.1,Donald Trump,52.23,2024-07-10
Quinnipiac,3,-0.5,4.7,Kamala Harris,46.49,2024-07-23
Muhlenberg,2.9,-1.4,5.8,Kamala Harris,44.39,2024-09-22
Muhlenberg,2.9,-1,4.9,Kamala Harris,49.4,2024-07-30
Quinnipiac,3,-0.3,4.6,Donald Trump,47.2,2024-07-14
MassINC Polling Group,2.8,-1.1,9.9,Kamala Harris,46.28,2024-08-28
MassINC Polling Group,2.7,-1.2,5.1,Donald Trump,55.28,2024-07-06
Selzer,2.9,-0.7,8.2,Kamala Harris,43.6,2024-09-12
Marquette Law School,2.8,-0.4,8.5,Donald Trump,41.84,2024-08-24
Beacon/Shaw,2.8,-1.1,5.3,Donald Trump,56.76,2024-08-22
Siena,2.8,-0.9,6.8,Donald Trump,56.47,2024-08-26
MassINC Polling Group,2.8,-0.4,5.2,Kamala Harris,55.79,2024-08-20
Ipsos,3,-0.5,7.4,Kamala Harris,47.96,2024-07-29
McCourtney Institute/YouGov,2.8,-1,7.1,Kamala Harris,55.41,2024-08-11
Washington Post/George Mason University,2.8,-1.1,6.4,Kamala Harris,49.66,2024-08-11
Marquette Law School,2.8,-0.5,9.9,Donald Trump,49.78,2024-07-13
Siena,2.9,-0.3,7,Donald Trump,46.19,2024-07-24
YouGov,3,-0.7,8.8,Kamala Harris,55.63,2024-07-10
YouGov/Center for Working Class Politics,3,-0.8,4.9,Donald Trump,43.55,2024-07-22
YouGov Blue,2.8,-0.7,8.3,Donald Trump,43.61,2024-07-22
YouGov/Center for Working Class Politics,3,-0.5,9,Donald Trump,42.69,2024-09-04
Echelon Insights,3,-0.5,6.6,Donald Trump,58.02,2024-08-27
Siena/NYT,2.9,-0.5,9.4,Donald Trump,39.96,2024-08-18
YouGov,2.7,-0.1,5.6,Donald Trump,51.79,2024-07-05
Emerson,2.8,-0.3,8.7,Donald Trump,54.22,2024-09-21
YouGov/Center for Working Class Politics,2.9,-0.5,7.1,Donald Trump,55.48,2024-09-26
Muhlenberg,2.9,-0.7,5.1,Kamala Harris,60.95,2024-07-13
SurveyUSA/High Point University,2.7,-0.3,9.6,Kamala Harris,42.41,2024-07-11
YouGov,2.7,-0.5,6.6,Kamala Harris,56.98,2024-09-03
Emerson,2.8,-1.2,8,Donald Trump,44.85,2024-08-15
Quinnipiac,2.7,-1.1,8.5,Kamala Harris,50.14,2024-08-27
Marist,2.9,-1,4.8,Donald Trump,53.47,2024-09-04
McCourtney Institute/YouGov,2.7,-1.5,8.3,Donald Trump,46.41,2024-09-20
Marquette Law School,2.9,-0.2,6,Kamala Harris,50.48,2024-09-22
Siena,3,-0.3,4.6,Donald Trump,57.58,2024-07-15
YouGov,2.8,-0.3,7.5,Kamala Harris,51,2024-08-30
Washington Post/George Mason University,2.9,-0.7,4.9,Donald Trump,45.86,2024-08-15
Quinnipiac,2.8,-0.6,5.9,Kamala Harris,53.02,2024-08-13
Washington Post/George Mason University,3,-1.2,5.7,Kamala Harris,47.72,2024-09-09
Christopher Newport U.,2.8,-1.3,4.8,Kamala Harris,48.55,2024-08-22
CNN/SSRS,2.9,-1.2,4.7,Kamala Harris,52.47,2024-09-17
SurveyUSA,2.7,-0.3,8.9,Donald Trump,47.62,2024-08-21
Ipsos,2.8,-0.8,8.9,Kamala Harris,55.71,2024-09-28
The Washington Post,2.9,-0.8,7.9,Kamala Harris,56.84,2024-09-04
Data Orbital,2.9,-1.5,6.4,Donald Trump,49.88,2024-07-25
SurveyUSA,2.7,-0.4,6,Kamala Harris,55.22,2024-08-10
Marquette Law School,2.9,-0.2,9.1,Donald Trump,54.64,2024-09-02
YouGov/Center for Working Class Politics,3,-1.1,9.7,Donald Trump,42.7,2024-09-28
SurveyUSA,3,-0.9,6.9,Kamala Harris,54.8,2024-08-30
SurveyUSA/High Point University,2.9,-1.4,6.6,Donald Trump,42.25,2024-08-27
YouGov/Center for Working Class Politics,2.8,-0.7,9.5,Donald Trump,47.42,2024-07-14
Echelon Insights,2.8,-1.3,6,Kamala Harris,58.63,2024-07-07
Marist,2.9,-0.5,4.5,Donald Trump,53.11,2024-08-26
Suffolk,3,-1.2,4.6,Kamala Harris,59.31,2024-09-15
MassINC Polling Group,2.7,-1.4,5.8,Donald Trump,53.93,2024-09-08
Emerson,2.9,-1.1,6.7,Donald Trump,56.75,2024-09-01
Selzer,2.7,-0.1,9,Kamala Harris,39.39,2024-09-18
SurveyUSA,2.9,-1.2,7.2,Kamala Harris,43.3,2024-07-12
MassINC Polling Group,2.7,-0.1,7.9,Kamala Harris,50.02,2024-08-27
The Washington Post,2.9,-1.5,4.9,Kamala Harris,38.78,2024-09-16
Christopher Newport U.,2.7,-1.4,6.7,Donald Trump,47.3,2024-07-30
Emerson,2.8,-0,6.3,Donald Trump,47.09,2024-09-03
Beacon/Shaw,2.8,-1.3,9.6,Kamala Harris,53.14,2024-07-26
CNN/SSRS,2.9,-1.2,9.6,Kamala Harris,48.75,2024-07-09
Data Orbital,2.7,-0.6,6.4,Donald Trump,52.95,2024-07-23
University of Massachusetts Lowell/YouGov,3,-0.1,9.7,Kamala Harris,48.04,2024-09-27
Selzer,3,-0.3,10,Donald Trump,50.38,2024-08-01
U. North Florida,3,-1.2,7.4,Kamala Harris,44.7,2024-09-06
SurveyUSA,2.9,-1.5,7.2,Donald Trump,53.54,2024-07-05
Siena/NYT,2.8,-0.7,9.9,Donald Trump,44.37,2024-07-08
SurveyUSA,2.8,-0,5.6,Kamala Harris,54.02,2024-09-09
McCourtney Institute/YouGov,2.7,-0.6,7.2,Kamala Harris,61.69,2024-08-05
University of Massachusetts Lowell/YouGov,2.8,-1.2,6.9,Donald Trump,49.89,2024-07-16
Selzer,2.7,-1.2,9,Donald Trump,53.78,2024-08-03
Christopher Newport U.,3,-0.9,8.7,Kamala Harris,57.01,2024-08-21
Suffolk,2.9,-1.1,9.6,Kamala Harris,53.35,2024-08-16
McCourtney Institute/YouGov,2.9,-0.8,9.5,Donald Trump,55.92,2024-08-02
CNN/SSRS,2.9,-0.9,4.7,Kamala Harris,46.53,2024-07-05
Data Orbital,2.8,-1,9.1,Kamala Harris,41.19,2024-07-20
YouGov,2.7,-0,5,Donald Trump,53.16,2024-09-29
Siena,2.8,-1.1,5.5,Kamala Harris,50.63,2024-09-25
Marist,3,-1.4,6.4,Kamala Harris,46.25,2024-09-18
Marist,2.9,-0.7,4.6,Donald Trump,51.78,2024-07-08
Muhlenberg,3,-0.5,5.8,Donald Trump,45.62,2024-09-10
YouGov Blue,2.8,-0.1,8.4,Donald Trump,44.65,2024-07-14
Beacon/Shaw,2.7,-0.2,8.2,Donald Trump,55.83,2024-08-13
AtlasIntel,3,-0.1,7.5,Kamala Harris,55.86,2024-08-24
YouGov,2.8,-0.8,9,Kamala Harris,48.28,2024-08-03
SurveyUSA/High Point University,3,-1.4,9.8,Donald Trump,58.34,2024-09-23
Selzer,2.7,-0.2,4.8,Kamala Harris,53.14,2024-08-17
Echelon Insights,2.9,-1,8,Donald Trump,50.86,2024-08-14
CNN/SSRS,3,-1.2,8.5,Kamala Harris,39.9,2024-07-24
AtlasIntel,2.8,-0.1,9.6,Kamala Harris,55.32,2024-08-06
Siena/NYT,2.9,-1.3,9.7,Donald Trump,58.51,2024-09-14
Beacon/Shaw,3,-0.1,6.8,Kamala Harris,51.39,2024-07-16
Siena/NYT,2.9,-1.1,9.8,Kamala Harris,50.71,2024-08-16
Selzer,2.9,-1.3,7.2,Kamala Harris,52.02,2024-07-04
The Washington Post,2.8,-1,8.7,Kamala Harris,48.87,2024-09-26
YouGov Blue,2.7,-0,6.8,Donald Trump,43.02,2024-07-28
Marquette Law School,2.8,-1.3,9.2,Donald Trump,45.03,2024-08-14
Christopher Newport U.,2.8,-1.3,9.7,Donald Trump,56.16,2024-09-05
Ipsos,2.7,-0.2,9.4,Kamala Harris,49.71,2024-07-06
YouGov Blue,3,-1.1,8.7,Kamala Harris,47.39,2024-09-12
University of Massachusetts Lowell/YouGov,2.7,-0,8.4,Kamala Harris,52.36,2024-09-06
Beacon/Shaw,2.7,-0.6,5.9,Kamala Harris,57.9,2024-09-17
AtlasIntel,2.9,-1,5.8,Donald Trump,47.1,2024-09-10
SurveyUSA/High Point University,2.8,-0.9,7.5,Kamala Harris,49.68,2024-07-06
SurveyUSA/High Point University,2.9,-0.2,6.2,Kamala Harris,45.19,2024-08-03
Emerson,2.9,-1.5,5.6,Donald Trump,51.87,2024-07-10
Quinnipiac,2.7,-1.4,7.6,Donald Trump,56.12,2024-09-05
Suffolk,2.7,-1.3,4.5,Kamala Harris,57.7,2024-08-30
Marquette Law School,2.9,-0.8,6.6,Kamala Harris,51.11,2024-09-13
Quinnipiac,3,-0.3,5.8,Donald Trump,47.6,2024-07-10
Marquette Law School,2.9,-0.7,6.8,Donald Trump,47.72,2024-08-24
SurveyUSA,2.8,-1.5,6.3,Kamala Harris,41.82,2024-09-20
Marist,3,-1.4,4.8,Donald Trump,44.26,2024-07-13
YouGov Blue,2.8,-0.5,6.1,Donald Trump,51.82,2024-08-04
YouGov,3,-1.4,6.5,Donald Trump,44.65,2024-09-10
CNN/SSRS,2.7,-1.4,8.9,Donald Trump,51.88,2024-07-07
Emerson,2.9,-0.3,8.3,Kamala Harris,52.29,2024-09-01
Selzer,2.9,-0.8,4.8,Kamala Harris,47.01,2024-08-18
MassINC Polling Group,2.7,-1.3,8.3,Kamala Harris,50.57,2024-09-03
AtlasIntel,2.8,-0.8,6.6,Kamala Harris,52.21,2024-08-09
AtlasIntel,2.8,-0.3,4.8,Donald Trump,45.86,2024-08-02
SurveyUSA,2.8,-0.2,7.9,Donald Trump,40.28,2024-08-11
YouGov Blue,2.8,-1.2,5.7,Donald Trump,54.01,2024-09-02
Marquette Law School,2.8,-1,7.5,Kamala Harris,54.85,2024-09-24
The Washington Post,2.9,-0.4,5.9,Kamala Harris,58.75,2024-09-23
Siena,3,-1.1,6,Kamala Harris,53.01,2024-07-09
Data Orbital,2.8,-1,6.4,Kamala Harris,40.59,2024-07-14
YouGov/Center for Working Class Politics,2.8,-0.3,9.4,Kamala Harris,44.11,2024-08-14
SurveyUSA/High Point University,2.8,-0.4,8.8,Donald Trump,45.81,2024-09-12
YouGov Blue,2.8,-1,10,Kamala Harris,53.72,2024-07-21
Emerson,2.8,-1,9.4,Donald Trump,52.61,2024-09-11
Washington Post/George Mason University,2.9,-0.5,7.3,Kamala Harris,50.76,2024-07-26
MassINC Polling Group,2.7,-1.4,4.8,Donald Trump,43.78,2024-07-18
Muhlenberg,2.9,-0.2,7.6,Donald Trump,55.35,2024-07-02
Echelon Insights,2.8,-1,7.1,Kamala Harris,53.93,2024-08-01
Echelon Insights,2.7,-1.2,9.5,Donald Trump,53.86,2024-08-27
Emerson,2.7,-0.6,5.7,Kamala Harris,42.43,2024-08-09
YouGov Blue,2.7,-0.3,8.8,Kamala Harris,55.64,2024-07-09
Suffolk,2.8,-0.1,9.7,Donald Trump,45.33,2024-09-11
Echelon Insights,2.9,-1,8.4,Kamala Harris,52.86,2024-07-26
Muhlenberg,3,-0.2,8.9,Donald Trump,55.79,2024-08-27
Suffolk,2.9,-0.5,5.1,Kamala Harris,47.8,2024-09-03
Siena/NYT,2.9,-0.5,4.7,Donald Trump,52.5,2024-07-03
Muhlenberg,2.9,-1,6.4,Donald Trump,48.9,2024-07-08
U. North Florida,2.8,-1.1,9.5,Donald Trump,52.81,2024-07-11
Marquette Law School,2.8,-0.1,5,Kamala Harris,60.39,2024-08-08
Ipsos,2.9,-1.1,8.5,Donald Trump,50.06,2024-08-08
Suffolk,2.8,-0.2,5.4,Donald Trump,46.16,2024-08-22
Siena,2.8,-0.4,4.8,Donald Trump,47.77,2024-09-15
YouGov/Center for Working Class Politics,3,-0.9,5.3,Kamala Harris,46.99,2024-09-16
McCourtney Institute/YouGov,2.9,-0.6,9.4,Kamala Harris,53.67,2024-08-24
Muhlenberg,2.9,-1.5,9,Kamala Harris,43.57,2024-09-19
MassINC Polling Group,2.8,-1.2,8.5,Donald Trump,47.99,2024-07-01
Echelon Insights,2.7,-0.1,4.8,Donald Trump,53.28,2024-08-06
Christopher Newport U.,2.9,-0.5,9.3,Donald Trump,51.46,2024-09-18
CNN/SSRS,3,-0.9,7.8,Kamala Harris,62.13,2024-08-01
The Washington Post,2.7,-0.7,5.2,Donald Trump,50.82,2024-09-10
Muhlenberg,2.8,-1.4,6.4,Kamala Harris,47.76,2024-09-03
Selzer,2.8,-0.1,7.6,Donald Trump,45.23,2024-07-16
Siena/NYT,2.9,-0.7,7.8,Kamala Harris,54.78,2024-07-04
Data Orbital,3,-1.1,7.8,Kamala Harris,45.74,2024-09-05
Beacon/Shaw,2.8,-0.7,5.1,Donald Trump,51.43,2024-09-17
YouGov Blue,2.9,-1.2,9.1,Kamala Harris,46.62,2024-08-11
SurveyUSA/High Point University,2.8,-1,8.8,Kamala Harris,56.26,2024-08-19
Siena/NYT,2.9,-1.2,9,Kamala Harris,54.25,2024-07-29
MassINC Polling Group,2.9,-0.2,7.9,Kamala Harris,51.82,2024-07-12
Quinnipiac,2.7,-0.5,8,Donald Trump,57.3,2024-07-26
SurveyUSA/High Point University,3,-1.2,8.6,Donald Trump,40.45,2024-08-07
Beacon/Shaw,2.9,-0.6,8,Kamala Harris,50.59,2024-08-15
Beacon/Shaw,2.8,-0.6,5.7,Donald Trump,44.26,2024-07-01
Siena,3,-1.1,6.6,Kamala Harris,52.84,2024-09-06
Christopher Newport U.,2.8,-1.3,5.4,Donald Trump,54.89,2024-07-12
Christopher Newport U.,2.8,-1.2,9.5,Donald Trump,52.44,2024-07-10
MassINC Polling Group,3,-0.5,4.8,Kamala Harris,44.96,2024-08-01
University of Massachusetts Lowell/YouGov,2.8,-1.3,8.3,Kamala Harris,48.11,2024-07-14
CNN/SSRS,2.8,-0.6,6,Donald Trump,47.43,2024-09-29
SurveyUSA/High Point University,3,-0.9,10,Kamala Harris,47.02,2024-07-23
McCourtney Institute/YouGov,2.8,-1.4,5.6,Kamala Harris,48.38,2024-08-11
YouGov Blue,2.8,-0.8,8.1,Kamala Harris,53.72,2024-09-04
YouGov Blue,2.8,-1,7.5,Donald Trump,46.7,2024-09-21
Suffolk,2.9,-0.2,7,Donald Trump,48.26,2024-09-17
Muhlenberg,2.9,-0.4,6.8,Kamala Harris,57.58,2024-07-05
Muhlenberg,2.8,-0.1,8.2,Donald Trump,54.14,2024-07-23
Quinnipiac,2.7,-0.2,8.3,Kamala Harris,53.94,2024-09-18
SurveyUSA,2.9,-0.9,4.7,Donald Trump,56.72,2024-08-17
Suffolk,2.7,-0.4,8.5,Kamala Harris,51.29,2024-07-04
Ipsos,2.9,-0.4,8.9,Kamala Harris,53.55,2024-07-10
SurveyUSA,2.9,-1,7.3,Kamala Harris,46.41,2024-08-24
YouGov/Center for Working Class Politics,3,-0.7,7.6,Kamala Harris,45.47,2024-09-27
YouGov/Center for Working Class Politics,3,-0,8.7,Kamala Harris,45.67,2024-07-13
Siena/NYT,3,-1.4,4.6,Donald Trump,46.96,2024-07-25
Emerson,2.9,-1,9.5,Donald Trump,40.8,2024-08-07
SurveyUSA,2.9,-0.6,6.4,Kamala Harris,56.12,2024-07-27
SurveyUSA/High Point University,2.9,-1.3,8.5,Kamala Harris,46.86,2024-07-03
Emerson,3,-0.9,8,Kamala Harris,39.27,2024-08-20
YouGov/Center for Working Class Politics,2.7,-1.1,9.1,Kamala Harris,42.71,2024-07-05
SurveyUSA/High Point University,2.9,-0.2,8.7,Donald Trump,44.65,2024-07-06
Suffolk,2.9,-0.1,9.6,Kamala Harris,39.98,2024-09-05
Marist,2.9,-0.7,8.8,Kamala Harris,50.99,2024-08-20
McCourtney Institute/YouGov,2.8,-1,8,Donald Trump,52.62,2024-08-27
Ipsos,2.9,-0.5,4.9,Kamala Harris,39.76,2024-07-18
YouGov Blue,2.9,-0.4,7.2,Kamala Harris,57.41,2024-07-24
The Washington Post,2.8,-0.2,6.6,Kamala Harris,47.91,2024-09-02
Quinnipiac,3,-0.1,8.4,Donald Trump,48.51,2024-07-28
The Washington Post,2.9,-0.1,9.3,Donald Trump,47.39,2024-08-18
Beacon/Shaw,2.7,-0.9,8.2,Kamala Harris,39.05,2024-09-22
Siena/NYT,2.9,-1.2,5.3,Donald Trump,52.38,2024-08-08
YouGov Blue,2.9,-1.1,7.5,Kamala Harris,50.38,2024-08-23
AtlasIntel,3,-0.6,8.6,Donald Trump,48.96,2024-09-07
Suffolk,2.7,-1,6,Kamala Harris,54.47,2024-08-31
Marquette Law School,2.8,-1.2,6.3,Donald Trump,50.14,2024-08-01
Data Orbital,2.7,-0,8.5,Kamala Harris,47.9,2024-08-03
CNN/SSRS,2.7,-1.5,6.5,Kamala Harris,49.57,2024-08-24
MassINC Polling Group,2.9,-1.2,5.6,Donald Trump,40.37,2024-07-11
Selzer,2.8,-1.4,8.6,Donald Trump,65.8,2024-09-09
Data Orbital,3,-0.6,6,Donald Trump,43.41,2024-07-03
Marquette Law School,2.8,-0.4,8.1,Donald Trump,47.22,2024-09-29
Muhlenberg,2.8,-0.3,6.7,Kamala Harris,60.11,2024-08-16
Beacon/Shaw,3,-0.1,6,Donald Trump,49.99,2024-09-23
YouGov,2.8,-1.3,5.8,Donald Trump,42.54,2024-08-29
SurveyUSA,2.8,-1.1,8.3,Donald Trump,52.46,2024-09-14
Selzer,2.8,-0.5,6.7,Kamala Harris,48.31,2024-08-25
Echelon Insights,2.9,-0.6,9.5,Kamala Harris,50.48,2024-07-25
Washington Post/George Mason University,3,-0.3,10,Kamala Harris,55.28,2024-08-10
Beacon/Shaw,3,-1,7.8,Donald Trump,43.03,2024-08-30
Data Orbital,2.9,-0.8,9.1,Donald Trump,43.95,2024-07-04
Data Orbital,3,-0.6,10,Donald Trump,50.05,2024-07-01
CNN/SSRS,2.8,-1.2,5.7,Donald Trump,44.61,2024-09-26
CNN/SSRS,2.7,-1,9.1,Kamala Harris,50.47,2024-08-09
Beacon/Shaw,3,-0.9,10,Kamala Harris,41.42,2024-07-18
Christopher Newport U.,2.8,-0.5,8,Kamala Harris,45.55,2024-09-17
Data Orbital,2.9,-0.5,6,Kamala Harris,59.1,2024-07-07
AtlasIntel,2.9,-0.4,4.8,Donald Trump,54.35,2024-07-25
Christopher Newport U.,2.8,-1,7.7,Donald Trump,48.39,2024-09-21
McCourtney Institute/YouGov,2.8,-0,5.9,Donald Trump,46.09,2024-08-08
MassINC Polling Group,2.9,-0.4,9.4,Donald Trump,55.35,2024-08-28
MassINC Polling Group,2.9,-0.2,8.5,Donald Trump,43.91,2024-07-31
CNN/SSRS,3,-0.9,9.3,Kamala Harris,48.54,2024-08-03
AtlasIntel,2.8,-1.3,6.9,Kamala Harris,44.04,2024-08-04
SurveyUSA/High Point University,2.8,-1.1,9.2,Donald Trump,47.57,2024-09-12
SurveyUSA,2.8,-1.3,7.7,Donald Trump,53.63,2024-09-12
Quinnipiac,2.7,-0.1,5.6,Kamala Harris,47.89,2024-07-24
Emerson,2.9,-1,6.8,Donald Trump,58.11,2024-07-30
YouGov,2.8,-1.4,5,Donald Trump,49.29,2024-09-10
YouGov Blue,2.9,-0.8,5.2,Donald Trump,48.03,2024-07-03
The Washington Post,2.8,-0.6,9.6,Kamala Harris,43.36,2024-09-24
Marist,2.9,-0.7,9.4,Donald Trump,50.41,2024-08-05
Christopher Newport U.,2.9,-0.9,7.1,Kamala Harris,48.66,2024-08-24
McCourtney Institute/YouGov,2.8,-1.2,8.2,Donald Trump,53.63,2024-08-01
Washington Post/George Mason University,2.9,-0.8,7.8,Kamala Harris,44.04,2024-08-24
YouGov/Center for Working Class Politics,2.8,-1.4,5.4,Kamala Harris,56.92,2024-09-25
Christopher Newport U.,3,-0.8,8.2,Donald Trump,50.6,2024-08-07
Quinnipiac,2.9,-0,7.5,Donald Trump,46.61,2024-07-11
Suffolk,2.8,-1.2,4.7,Donald Trump,49.69,2024-09-29
YouGov,2.7,-0.2,4.8,Kamala Harris,51.93,2024-09-29
McCourtney Institute/YouGov,3,-1.1,7,Donald Trump,50.45,2024-09-16
SurveyUSA,2.8,-1.4,7.6,Kamala Harris,43.18,2024-07-23
SurveyUSA/High Point University,3,-1,9,Kamala Harris,52.84,2024-08-04
